recipe_id,recipe_name,row_order,row_type,ing_name,ing_qty,sr28_long_desc,ndb_no,portion_desc,portion_grams,serving_count,notes,game_food,animal
SWEET_009,Pecan Pie,7,ingredient,large eggs (lightly beaten),3 large,"Egg, whole, raw, fresh",1123,g,150,1,section=filling,,
SWEET_009,Pecan Pie,8,ingredient,butter (melted),1/4 cup,"Butter, without salt",1145,g,57,1,section=filling,,
SWEET_009,Pecan Pie,9,ingredient,all-purpose flour (helps the filling set),1 tablespoon,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,8,1,section=filling,,
SWEET_009,Pecan Pie,10,ingredient,vanilla extract,1 teaspoon,Vanilla extract,2050,g,4.2,1,section=filling,,
SWEET_009,Pecan Pie,11,ingredient,salt,5/8 teaspoon,"Salt, table",2047,g,3.75,1,section=filling,,
SWEET_009,Pecan Pie,12,ingredient,"pecan halves, coarsely chopped (save enough whole halves to line the top)","2 cups halves, coarsely chopped (save enough halves to line the top)","Nuts, pecans",12142,g,200,1,section=filling,,
SWEET_010,Pumpkin Pie,0,dish,,custom (g),"Pie, pumpkin, prepared from recipe",18327,custom (g),100.0,1,,,
SWEET_010,Pumpkin Pie,1,ingredient,all-purpose enriched white flour,1 1/2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,188,1,section=crust,,
SWEET_010,Pumpkin Pie,2,ingredient,salt,1/2 teaspoon,"Salt, table",2047,g,3,1,section=crust,,
SWEET_010,Pumpkin Pie,3,ingredient,unsalted butter,6 tablespoons,"Butter, without salt",1145,g,85,1,section=crust,,
SWEET_010,Pumpkin Pie,4,ingredient,ice water,3 tablespoons ice water,"Water, tap, drinking",14411,g,45,1,section=crust,,
SWEET_010,Pumpkin Pie,5,ingredient,canned pumpkin puree (not pumpkin pie filling),1 can (15 oz),"Pumpkin, canned, without salt",11424,g,425,1,section=filling,,
SWEET_010,Pumpkin Pie,6,ingredient,evaporated milk,1 can (12 oz),"Milk, canned, evaporated, with added vitamin D",1096,g,354,1,section=filling,,
SWEET_010,Pumpkin Pie,7,ingredient,sugar,3/4 cup,"Sugars, granulated",19335,g,150,1,section=filling,,
SWEET_010,Pumpkin Pie,8,ingredient,large eggs (lightly beaten),2 large,"Egg, whole, raw, fresh",1123,g,100,1,section=filling,,
SWEET_010,Pumpkin Pie,9,ingredient,pumpkin pie spice (or 1 1/2 tsp cinnamon + 1/2 tsp ginger + 1/2 tsp nutmeg + 1/4 tsp cloves),1 tablespoon,"Spices, pumpkin pie spice",2035,g,5.1,1,section=filling,,
SWEET_010,Pumpkin Pie,10,ingredient,salt,1/2 teaspoon,"Salt, table",2047,g,3,1,section=filling,,
SWEET_010,Pumpkin Pie,11,ingredient,butter (melted),1 tablespoon,"Butter, without salt",1145,g,14,1,section=filling,,
SWEET_011,Vanilla Cream Pie,0,dish,,custom (g),"Pie, vanilla cream, prepared from recipe",18328,custom (g),100.0,1,,,
SWEET_011,Vanilla Cream Pie,1,ingredient,all-purpose enriched white flour,1 1/2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,188,1,section=crust,,
SWEET_011,Vanilla Cream Pie,2,ingredient,salt,1/2 teaspoon,"Salt, table",2047,g,3,1,section=crust,,
SWEET_011,Vanilla Cream Pie,3,ingredient,unsalted butter,6 tablespoons,"Butter, without salt",1145,g,85,1,section=crust,,
SWEET_011,Vanilla Cream Pie,4,ingredient,ice water,3 tablespoons ice water,"Water, tap, drinking",14411,g,45,1,section=crust,,
SWEET_011,Vanilla Cream Pie,5,ingredient,whole milk,2 cups,"Milk, whole, 3.25% milkfat, with added vitamin D",1077,g,488,1,section=filling,,
SWEET_011,Vanilla Cream Pie,6,ingredient,sugar,1/2 cup + 1 tablespoon,"Sugars, granulated",19335,g,113,1,section=filling,,
SWEET_011,Vanilla Cream Pie,7,ingredient,cornstarch,7 tablespoons,Cornstarch,20027,g,56,1,section=filling,,
SWEET_011,Vanilla Cream Pie,8,ingredient,all-purpose enriched white flour,3 tablespoons,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,24,1,section=filling,,
SWEET_011,Vanilla Cream Pie,9,ingredient,salt,3/4 teaspoon,"Salt, table",2047,g,4.5,1,section=filling,,
SWEET_011,Vanilla Cream Pie,10,ingredient,egg yolks (lightly beaten),4 large yolks,"Egg, yolk, raw, fresh",1125,g,68,1,section=filling,,
SWEET_011,Vanilla Cream Pie,11,ingredient,butter (cut into pieces),1 tablespoon,"Butter, without salt",1145,g,14,1,section=filling,,
SWEET_011,Vanilla Cream Pie,12,ingredient,pure vanilla extract,2 teaspoons,Vanilla extract,2050,g,8.4,1,section=filling,,
SWEET_011,Vanilla Cream Pie,13,ingredient,heavy cream,3/4 cup,"Cream, fluid, heavy whipping",1053,g,180,1,section=topping,,
SWEET_011,Vanilla Cream Pie,14,ingredient,powdered sugar,2 tablespoons,"Sugars, powdered",19336,g,15,1,section=topping,,
SWEET_011,Vanilla Cream Pie,15,ingredient,vanilla extract,1/2 teaspoon,Vanilla extract,2050,g,2.1,1,optional;section=topping,,
SWEET_012,Boston Cream Pie,0,dish,,custom (g),"Cake, boston cream pie, commercially prepared",18090,custom (g),100.0,1,,,
SWEET_012,Boston Cream Pie,1,ingredient,all-purpose enriched white flour,1 1/2 cups,"Wheat flour, white, all-purpose, enriched, bleached",20081,g,188,1,section=cake,,
SWEET_012,Boston Cream Pie,2,ingredient,baking powder,1 1/2 teaspoons,"Leavening agents, baking powder, double-acting, sodium aluminum sulfate",18369,g,6,1,section=cake,,
SWEET_012,Boston Cream Pie,3,ingredient,salt,1/4 teaspoon,"Salt, table",2047,g,1.5,1,section=cake,,
SWEET_012,Boston Cream Pie,4,ingredient,"unsalted butter, softened",1/2 cup,"Butter, without salt",1145,g,113,1,section=cake,,
SWEET_012,Boston Cream Pie,5,ingredient,sugar,1 cup,"Sugars, granulated",19335,g,200,1,section=cake,,
SWEET_012,Boston Cream Pie,6,ingredient,large eggs (room temperature),3 large,"Egg, whole, raw, fresh",1123,g,150,1,section=cake,,
SWEET_012,Boston Cream Pie,7,ingredient,vanilla extract,1 1/2 teaspoons,Vanilla extract,2050,g,6.3,1,section=cake,,
SWEET_012,Boston Cream Pie,8,ingredient,whole milk,3/4 cup,"Milk, whole, 3.25% milkfat, with added vitamin D",1077,g,183,1,section=cake,,
SWEET_012,Boston Cream Pie,9,ingredient,whole milk,1 1/2 cups,"Milk, whole, 3.25% milkfat, with added vitamin D",1077,g,366,1,section=filling,,
SWEET_012,Boston Cream Pie,10,ingredient,sugar,1/3 cup,"Sugars, granulated",19335,g,67,1,section=filling,,
SWEET_012,Boston Cream Pie,11,ingredient,cornstarch,2 tablespoons,Cornstarch,20027,g,16,1,section=filling,,
SWEET_012,Boston Cream Pie,12,ingredient,salt,1/8 teaspoon,"Salt, table",2047,g,0.75,1,section=filling,,
SWEET_012,Boston Cream Pie,13,ingredient,egg yolks (lightly beaten),3 large yolks,"Egg, yolk, raw, fresh",1125,g,51,1,section=filling,,
SWEET_012,Boston Cream Pie,14,ingredient,butter (cut in pieces),1 tablespoon,"Butter, without salt",1145,g,14,1,section=filling,,
SWEET_012,Boston Cream Pie,15,ingredient,vanilla extract,1 teaspoon,Vanilla extract,2050,g,4.2,1,section=filling,,
SWEET_012,Boston Cream Pie,16,ingredient,heavy cream,1/4 cup,"Cream, fluid, heavy whipping",1053,g,60,1,section=glaze,,
SWEET_012,Boston Cream Pie,17,ingredient,"semisweet chocolate, chopped",4 ounces,"Candies, semisweet chocolate",19080,g,113,1,section=glaze,,
SWEET_012,Boston Cream Pie,18,ingredient,butter,1 tablespoon,"Butter, without salt",1145,g,14,1,section=glaze,,
SWEET_013,Chocolate Cream Pie,0,dish,,custom (g),"Pie, chocolate creme, commercially prepared",18310,custom (g),100.0,1,,,
SWEET_013,Chocolate Cream Pie,1,ingredient,"chocolate sandwich cookies (such as Oreos), finely crushed",24 cookies,"Cookies, chocolate sandwich, with creme filling, regular",18166,g,240,1,section=crust,,
SWEET_013,Chocolate Cream Pie,2,ingredient,butter (melted),5 tablespoons,"Butter, without salt",1145,g,71,1,section=crust,,
SWEET_013,Chocolate Cream Pie,3,ingredient,whole milk,2 cups,"Milk, whole, 3.25% milkfat, with added vitamin D",1077,g,488,1,section=filling,,
